Country Name,2000,2005,2010,2015
Angola,20,20.5,20.8,24.4
Albania,15.4,15.9,15.4,13.6
Benin,28,29.2,29.8,27.7
Belize,30.8,34.6,13.5,21.3
Bolivia,14,15.1,16,23.3
Brazil,15.9,18.2,20.8,22.6
Barbados,14.2,8.8,8.5,5.5
Canada,9.4,9.4,7.3,5.8
Chile,17.3,17,12.1,11.6
China,21.7,21.2,20.7,19.4
Cuba,15.7,11.4,8.3,7.6
Spain,15.6,10.7,5.4,3.6
Fiji,9.8,9.7,8.1,5.8
France,12.9,8.7,6.3,5.1
Ghana,26.8,28.1,27.6,26.1
Guinea,26,27.9,29.1,28.1
Haiti,14.4,14.9,15.8,15.3
India,15,16.9,19.7,21.2
Ireland,11,9.6,4.7,4
Japan,12.3,9.2,5.4,4.7
Kenya,29,28.9,29,30.5
